Vardas                   Pavarde                    ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10       ND11       ND12       ND13       ND14       ND15       
Vardas38                 Pavarde38                   9          6          9          1          3          4          2          7          4          8          5          7          9          2          1          
Vardas39                 Pavarde39                   2          1          9          10         10         8          3          3          9          6          8          1          8          8          3          
Vardas40                 Pavarde40                   7          4          1          8          7          6          8          3          5          5          5          7          5          2          5          
Vardas41                 Pavarde41                   9          8          5          5          4          8          9          4          9          6          10         5          5          3          5          
Vardas42                 Pavarde42                   4          8          4          2          1          4          5          10         2          4          10         8          2          10         6          
Vardas43                 Pavarde43                   4          5          2          9          5          8          4          7          1          7          2          6          7          8          6          
Vardas44                 Pavarde44                   10         3          10         9          10         6          10         8          2          3          8          9          1          6          2          
Vardas45                 Pavarde45                   9          7          2          1          5          6          3          2          4          3          10         6          4          5          10         
Vardas46                 Pavarde46                   8          1          9          7          2          1          9          5          5          4          8          5          5          5          2          
Vardas47                 Pavarde47                   10         4          7          9          9          1          8          4          7          3          8          3          9          2          7          
Vardas48                 Pavarde48                   6          8          1          10         6          5          3          9          6          9          2          8          6          4          1          
Vardas49                 Pavarde49                   3          6          2          9          1          10         8          7          6          2          1          7          4          4          6          
Vardas50                 Pavarde50                   7          5          9          8          10         4          7          2          4          5          5          5          6          9          1          
Vardas51                 Pavarde51                   1          4          5          3          10         3          5          1          1          5          5          3          3          10         9          
Vardas52                 Pavarde52                   4          9          9          6          1          2          4          8          10         9          7          2          3          10         6          
Vardas53                 Pavarde53                   8          5          2          5          9          3          10         6          9          6          8          8          3          2          10         
Vardas54                 Pavarde54                   10         5          2          2          9          1          2          2          5          3          8          5          4          6          4          
Vardas55                 Pavarde55                   6          4          10         7          1          2          9          3          8          8          10         6          2          6          9          
Vardas56                 Pavarde56                   1          4          3          9          6          8          3          2          6          2          5          6          4          2          10         
Vardas57                 Pavarde57                   1          6          9          7          8          1          8          1          6          10         3          8          2          5          3          
Vardas58                 Pavarde58                   4          1          7          3          1          3          5          4          3          6          6          10         7          3          8          
Vardas59                 Pavarde59                   9          2          9          5          2          7          9          7          5          4          6          7          8          4          3          
Vardas60                 Pavarde60                   1          10         9          5          5          7          1          6          5          6          6          4          7          4          3          
Vardas61                 Pavarde61                   9          6          6          4          2          7          9          6          2          9          7          6          7          6          3          
Vardas62                 Pavarde62                   10         4          10         7          1          4          7          3          6          3          5          10         9          10         4          
Vardas63                 Pavarde63                   2          3          3          5          10         5          8          8          5          9          5          10         9          10         3          
Vardas64                 Pavarde64                   1          3          7          8          7          5          10         2          2          3          5          3          8          10         2          
Vardas65                 Pavarde65                   9          1          1          6          6          5          7          5          5          5          4          10         7          2          10         
Vardas66                 Pavarde66                   1          9          4          4          7          10         4          2          3          10         2          2          9          10         2          
Vardas67                 Pavarde67                   7          6          10         3          7          9          4          10         1          1          10         6          8          6          5          
Vardas68                 Pavarde68                   2          9          2          9          8          5          7          9          9          1          6          3          5          5          6          
Vardas69                 Pavarde69                   9          8          8          2          2          7          2          3          9          5          7          4          2          6          2          
Vardas70                 Pavarde70                   1          8          3          4          10         10         4          10         9          1          1          3          1          9          3          
Vardas71                 Pavarde71                   1          2          7          2          2          4          10         6          6          8          5          5          2          5          9          
Vardas72                 Pavarde72                   4          10         9          1          3          8          10         9          5          4          1          10         2          9          8          
Vardas73                 Pavarde73                   7          5          5          4          10         10         6          2          1          9          2          9          3          8          3          
Vardas74                 Pavarde74                   1          6          5          3          2          5          9          5          1          5          9          5          7          1          1          
Vardas75                 Pavarde75                   2          3          7          5          8          7          5          1          9          3          8          5          6          10         8          
Vardas76                 Pavarde76                   6          8          8          6          6          1          9          8          5          5          5          10         4          5          8          
Vardas77                 Pavarde77                   1          1          6          7          1          5          10         4          4          4          7          9          9          9          4          
Vardas78                 Pavarde78                   5          1          9          5          5          9          7          8          7          3          2          3          7          8          9          
Vardas79                 Pavarde79                   4          1          7          9          8          5          10         2          8          4          2          10         6          9          5          
Vardas80                 Pavarde80                   1          9          5          1          3          5          1          1          4          2          10         4          10         6          6          
Vardas81                 Pavarde81                   6          4          10         5          2          7          10         9          5          3          4          7          6          5          8          
Vardas82                 Pavarde82                   7          7          6          8          9          9          6          2          1          4          4          4          7          6          6          
Vardas83                 Pavarde83                   8          4          3          6          5          9          1          8          3          8          4          10         1          3          8          
Vardas84                 Pavarde84                   6          9          5          5          6          5          4          6          2          3          8          1          10         4          9          
Vardas85                 Pavarde85                   6          5          8          9          7          10         7          1          9          7          1          3          3          1          8          
Vardas86                 Pavarde86                   10         5          1          2          5          2          4          6          4          3          8          1          9          8          9          
Vardas87                 Pavarde87                   3          8          10         6          4          1          2          7          1          2          8          7          10         4          8          
Vardas88                 Pavarde88                   10         2          1          2          4          6          6          6          7          1          8          8          2          5          1          
Vardas89                 Pavarde89                   4          8          9          5          3          4          2          5          3          6          4          5          10         8          7          
Vardas90                 Pavarde90                   7          6          4          7          8          3          3          10         3          1          4          4          5          2          1          
Vardas91                 Pavarde91                   5          6          10         8          7          3          5          9          1          3          3          6          7          5          5          
Vardas92                 Pavarde92                   7          1          9          7          10         9          2          4          4          2          1          5          1          3          3          
Vardas93                 Pavarde93                   6          5          2          5          10         2          2          8          2          10         6          4          3          1          5          
Vardas94                 Pavarde94                   9          1          3          5          3          3          5          1          4          2          2          3          5          3          10         
Vardas95                 Pavarde95                   3          2          1          1          1          9          1          4          6          4          1          5          8          8          10         
Vardas96                 Pavarde96                   1          7          7          10         7          6          3          10         6          3          5          3          10         6          4          
Vardas97                 Pavarde97                   4          5          4          5          8          2          4          6          1          7          4          7          5          5          10         
Vardas98                 Pavarde98                   5          2          4          5          2          3          3          5          3          5          5          1          2          9          8          
Vardas99                 Pavarde99                   10         10         9          9          8          4          9          6          7          4          1          10         8          10         1          
Vardas100                Pavarde100                  8          5          7          1          5          1          4          2          9          4          7          9          7          4          2          
Vardas101                Pavarde101                  9          3          7          7          7          3          4          2          6          2          8          9          3          5          2          
Vardas102                Pavarde102                  3          5          6          7          2          3          9          4          2          2          10         6          3          5          4          
Vardas103                Pavarde103                  4          6          2          9          10         7          7          2          2          2          5          4          10         10         4          
Vardas104                Pavarde104                  8          4          4          9          8          10         4          1          3          8          6          6          5          10         2          
Vardas105                Pavarde105                  7          3          10         9          7          2          2          8          6          1          5          8          10         8          4          
Vardas106                Pavarde106                  2          10         1          4          2          5          10         5          9          1          8          2          3          8          4          
Vardas107                Pavarde107                  10         4          1          8          6          3          2          10         5          7          5          2          9          9          4          
Vardas108                Pavarde108                  7          2          9          2          10         5          7          8          7          5          4          5          10         2          4          
Vardas109                Pavarde109                  9          6          3          3          8          4          7          1          2          3          7          9          3          8          3          
Vardas110                Pavarde110                  1          6          5          3          10         6          4          4          1          10         10         4          10         10         9          
Vardas111                Pavarde111                  9          7          5          7          2          6          2          1          3          1          5          8          8          5          5          
Vardas112                Pavarde112                  7          5          5          9          6          6          8          5          1          3          7          4          3          1          7          
Vardas113                Pavarde113                  1          5          2          5          6          4          10         6          6          3          4          5          9          5          7          
Vardas114                Pavarde114                  10         3          1          1          3          4          6          3          3          9          8          5          4          7          8          
Vardas115                Pavarde115                  1          3          8          1          8          4          7          7          5          10         3          4          8          3          1          
Vardas116                Pavarde116                  1          6          2          2          10         1          5          1          2          1          10         10         8          5          2          
Vardas117                Pavarde117                  8          9          8          4          2          7          8          2          7          4          1          10         2          5          10         
Vardas118                Pavarde118                  6          1          4          10         4          5          9          5          6          1          10         6          4          4          5          
Vardas119                Pavarde119                  2          9          5          8          6          7          1          7          5          2          4          4          9          10         1          
Vardas120                Pavarde120                  10         6          3          1          1          9          4          4          7          10         1          5          7          3          1          
Vardas121                Pavarde121                  6          5          5          2          5          7          4          3          5          4          3          9          5          10         9          
Vardas122                Pavarde122                  4          2          8          10         1          8          4          9          10         7          1          3          3          5          4          
Vardas123                Pavarde123                  5          2          4          5          4          1          7          1          4          10         8          3          5          3          10         
Vardas124                Pavarde124                  4          9          8          2          2          3          4          9          6          3          8          7          3          7          8          
Vardas125                Pavarde125                  1          1          4          3          5          7          10         9          4          8          5          2          2          3          7          
Vardas126                Pavarde126                  2          2          6          9          6          8          3          1          9          3          2          6          10         10         10         
Vardas127                Pavarde127                  7          1          8          3          4          2          4          3          9          2          7          5          5          7          2          
Vardas128                Pavarde128                  10         6          5          5          1          2          8          5          10         6          2          9          9          10         1          
Vardas129                Pavarde129                  1          7          6          7          2          7          8          3          1          1          8          1          2          4          7          
Vardas130                Pavarde130                  9          1          7          6          9          6          6          8          7          8          10         4          2          10         6          
Vardas131                Pavarde131                  3          9          6          8          3          8          8          3          1          9          9          5          3          10         9          
Vardas132                Pavarde132                  1          8          7          8          5          4          6          9          10         5          2          9          7          7          8          
Vardas133                Pavarde133                  8          1          9          7          8          3          9          1          7          7          2          3          7          6          3          
Vardas134                Pavarde134                  10         2          7          2          2          4          2          7          7          2          10         2          2          7          5          
Vardas135                Pavarde135                  9          7          8          5          9          4          4          4          6          9          6          2          2          4          3          
Vardas136                Pavarde136                  3          10         8          1          8          7          5          4          5          7          5          10         10         2          2          
Vardas137                Pavarde137                  4          3          8          8          9          4          2          8          3          6          9          4          9          9          1          
Vardas138                Pavarde138                  9          3          5          8          7          5          8          1          9          4          9          6          10         4          8          
Vardas139                Pavarde139                  6          5          3          8          2          2          1          6          5          5          2          10         10         8          2          
Vardas140                Pavarde140                  6          5          6          7          7          2          4          10         5          1          1          4          3          5          3          
Vardas141                Pavarde141                  3          2          3          2          1          4          3          3          1          10         5          2          10         1          2          
Vardas142                Pavarde142                  4          8          3          8          7          10         9          5          8          7          3          10         1          8          7          
Vardas143                Pavarde143                  2          2          7          10         1          10         1          3          1          2          6          6          4          7          5          
Vardas144                Pavarde144                  10         9          10         9          2          8          7          4          10         10         7          3          3          7          10         
Vardas145                Pavarde145                  10         5          1          3          1          7          6          10         1          2          4          8          4          8          9          
Vardas146                Pavarde146                  4          8          2          8          7          7          5          7          6          6          10         9          5          10         9          
Vardas147                Pavarde147                  1          9          2          7          10         2          3          1          4          6          2          3          7          10         8          
Vardas148                Pavarde148                  3          3          3          9          10         9          1          4          4          1          8          8          9          5          7          
Vardas149                Pavarde149                  10         6          1          7          10         2          7          9          6          10         9          9          1          6          4          
Vardas150                Pavarde150                  3          4          2          4          4          3          1          2          9          3          8          6          1          10         3          
Vardas151                Pavarde151                  8          6          3          7          5          8          4          3          8          4          5          9          6          7          1          
Vardas152                Pavarde152                  10         2          1          3          7          7          1          3          1          4          9          6          3          1          9          
Vardas153                Pavarde153                  8          2          7          8          7          3          8          9          4          10         8          3          7          1          4          
Vardas154                Pavarde154                  7          2          1          7          8          7          2          10         4          10         2          9          7          10         2          
Vardas155                Pavarde155                  6          1          2          1          10         4          4          4          10         2          9          4          1          6          4          
Vardas156                Pavarde156                  4          1          3          1          10         7          10         4          2          4          5          1          1          2          3          
Vardas157                Pavarde157                  8          1          7          3          3          3          8          6          5          6          6          10         5          4          5          
Vardas158                Pavarde158                  7          1          5          7          2          7          8          1          9          4          4          3          1          6          1          
Vardas159                Pavarde159                  9          7          10         10         4          5          4          3          10         2          8          9          8          1          4          
Vardas160                Pavarde160                  2          3          1          3          1          10         7          9          7          7          3          2          7          9          3          
Vardas161                Pavarde161                  7          3          8          6          7          9          10         5          7          4          7          8          6          7          10         
Vardas162                Pavarde162                  8          4          7          2          6          10         6          9          5          5          1          4          9          3          2          
Vardas163                Pavarde163                  7          6          4          3          8          1          3          5          7          2          3          7          7          1          6          
Vardas164                Pavarde164                  1          5          1          3          5          2          9          8          1          9          3          3          10         2          2          
Vardas165                Pavarde165                  2          8          9          8          5          7          5          6          7          2          2          4          4          2          1          
Vardas166                Pavarde166                  6          7          4          1          2          6          3          2          8          5          1          2          5          8          8          
Vardas167                Pavarde167                  9          5          7          1          9          5          10         6          9          7          10         1          7          6          9          
Vardas168                Pavarde168                  8          10         3          6          4          5          10         7          6          9          9          2          4          5          5          
Vardas169                Pavarde169                  10         7          10         6          6          1          2          10         8          8          7          8          5          6          9          
Vardas170                Pavarde170                  2          3          6          2          3          7          8          7          1          4          3          2          9          4          2          
Vardas171                Pavarde171                  7          9          1          1          9          2          10         10         1          5          6          3          7          9          4          
Vardas172                Pavarde172                  4          6          7          5          8          3          10         5          1          1          1          1          1          10         8          
Vardas173                Pavarde173                  8          1          9          8          10         9          5          9          7          9          9          3          1          3          1          
Vardas174                Pavarde174                  9          8          7          8          7          2          1          6          4          3          4          7          7          5          2          
Vardas175                Pavarde175                  5          9          9          8          3          4          10         8          6          9          4          3          5          1          3          
Vardas176                Pavarde176                  6          3          7          10         3          1          8          7          4          9          2          2          5          10         9          
Vardas177                Pavarde177                  2          5          9          5          8          4          10         6          10         7          2          2          8          7          4          
Vardas178                Pavarde178                  1          10         1          7          2          1          2          4          8          4          7          1          6          8          10         
Vardas179                Pavarde179                  7          5          7          4          7          10         10         4          2          3          7          8          4          7          2          
Vardas180                Pavarde180                  1          6          5          8          4          2          5          7          2          4          1          5          6          1          6          
Vardas181                Pavarde181                  1          1          5          9          9          8          9          10         10         3          2          2          10         6          1          
Vardas182                Pavarde182                  9          9          1          7          6          1          7          2          10         9          1          3          7          1          8          
Vardas183                Pavarde183                  1          1          7          7          8          6          6          4          6          2          7          9          10         3          5          
Vardas184                Pavarde184                  10         10         10         7          6          9          10         10         4          7          9          2          8          6          8          
Vardas185                Pavarde185                  1          3          5          4          4          5          6          3          6          10         1          5          7          9          10         
Vardas186                Pavarde186                  7          4          8          1          1          10         5          1          6          1          4          4          3          3          4          
Vardas187                Pavarde187                  7          7          8          8          8          7          7          5          7          1          10         9          8          9          2          
Vardas188                Pavarde188                  4          3          2          2          9          5          4          6          4          4          5          7          1          10         8          
Vardas189                Pavarde189                  4          7          3          10         4          5          1          5          3          3          3          2          2          8          8          
Vardas190                Pavarde190                  9          2          4          8          1          7          1          10         6          3          3          1          1          5          8          
Vardas191                Pavarde191                  6          7          10         4          3          6          7          4          2          6          9          8          5          3          1          
Vardas192                Pavarde192                  2          3          3          10         3          5          2          5          8          7          8          3          10         7          5          
Vardas193                Pavarde193                  1          8          5          9          1          3          2          9          6          9          8          1          1          10         5          
Vardas194                Pavarde194                  1          3          5          9          7          10         4          10         1          9          1          6          1          7          3          
Vardas195                Pavarde195                  4          5          7          1          1          7          10         9          8          7          9          6          9          1          9          
Vardas196                Pavarde196                  7          1          10         1          9          7          5          1          2          4          1          9          3          5          8          
Vardas197                Pavarde197                  2          5          1          3          1          3          7          10         3          9          1          4          6          9          8          
Vardas198                Pavarde198                  9          7          10         3          9          5          7          2          10         2          1          4          3          3          3          
Vardas199                Pavarde199                  8          2          4          2          6          3          10         10         6          10         5          7          10         8          9          
Vardas200                Pavarde200                  2          7          1          3          5          3          5          1          3          10         3          4          8          4          7          
Vardas201                Pavarde201                  5          3          8          4          1          2          6          6          6          7          10         5          8          5          5          
Vardas202                Pavarde202                  10         6          4          10         4          1          10         7          3          5          7          8          3          2          7          
Vardas203                Pavarde203                  6          1          4          3          7          9          8          4          10         3          7          9          5          10         5          
Vardas204                Pavarde204                  4          10         7          8          9          10         9          8          5          9          10         1          6          5          4          
