Vardas                   Pavarde                    ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10       ND11       ND12       ND13       ND14       ND15       
Vardas94                 Pavarde94                   2          3          4          6          8          10         4          8          2          7          1          8          10         4          10         
Vardas95                 Pavarde95                   4          2          7          3          4          3          7          7          6          6          8          3          10         7          4          
Vardas96                 Pavarde96                   3          3          7          1          5          5          9          5          5          6          10         7          3          8          4          
Vardas97                 Pavarde97                   7          9          5          1          1          2          4          10         2          7          7          1          1          1          8          
Vardas98                 Pavarde98                   4          1          5          4          5          3          1          3          9          10         6          5          3          9          7          
Vardas99                 Pavarde99                   5          3          3          6          6          5          3          8          1          8          7          6          7          2          10         
Vardas100                Pavarde100                  7          9          1          9          3          3          2          2          8          4          6          5          6          10         5          
Vardas101                Pavarde101                  7          9          3          5          6          3          8          7          4          6          3          2          2          4          2          
Vardas102                Pavarde102                  7          1          5          6          8          5          3          2          8          4          3          6          8          5          4          
Vardas103                Pavarde103                  3          3          7          4          4          4          8          7          10         4          5          10         5          1          8          
Vardas104                Pavarde104                  5          7          3          9          6          2          4          9          6          10         4          2          2          3          6          
Vardas105                Pavarde105                  1          4          10         6          2          2          8          4          3          9          2          7          4          2          1          
Vardas106                Pavarde106                  3          10         7          7          6          1          10         10         10         3          6          1          2          10         5          
Vardas107                Pavarde107                  9          5          5          2          1          9          5          10         1          8          5          6          1          3          6          
Vardas108                Pavarde108                  7          1          8          8          8          2          1          5          3          9          3          1          3          10         9          
Vardas109                Pavarde109                  2          10         4          7          4          5          2          2          1          7          6          5          6          8          2          
Vardas110                Pavarde110                  8          1          2          1          10         2          7          5          5          1          4          7          2          7          5          
Vardas111                Pavarde111                  5          9          3          7          5          6          7          7          10         1          9          6          6          10         7          
Vardas112                Pavarde112                  5          1          2          7          10         4          10         10         10         10         5          1          7          9          3          
Vardas113                Pavarde113                  3          8          6          10         1          3          5          9          4          8          1          1          7          9          10         
Vardas114                Pavarde114                  3          5          3          4          9          2          4          10         9          2          9          7          3          9          9          
Vardas115                Pavarde115                  3          7          7          5          3          3          9          2          6          10         5          9          8          1          3          
Vardas116                Pavarde116                  2          9          2          5          4          8          8          10         9          2          8          5          7          8          8          
Vardas117                Pavarde117                  2          9          5          6          4          9          9          7          2          9          10         1          5          1          9          
Vardas118                Pavarde118                  1          2          3          5          8          5          3          2          6          6          10         6          6          5          2          
Vardas119                Pavarde119                  2          2          10         7          9          1          1          3          8          6          3          5          1          8          10         
Vardas120                Pavarde120                  9          2          1          7          1          4          10         6          4          4          1          2          4          8          7          
Vardas121                Pavarde121                  1          3          9          10         1          6          1          9          10         7          2          5          1          5          3          
Vardas122                Pavarde122                  10         5          2          6          6          4          9          4          7          10         6          7          7          7          9          
Vardas123                Pavarde123                  2          9          6          8          6          4          7          6          1          1          4          10         5          5          3          
Vardas124                Pavarde124                  5          8          5          3          2          5          1          7          2          4          3          3          9          2          7          
Vardas125                Pavarde125                  6          4          6          2          5          6          3          9          8          5          2          6          4          4          2          
Vardas126                Pavarde126                  8          6          1          5          6          3          4          7          9          3          4          1          4          10         5          
Vardas127                Pavarde127                  5          1          6          6          10         2          7          10         3          7          3          3          2          10         5          
Vardas128                Pavarde128                  3          7          3          9          4          7          1          7          2          4          9          1          7          5          9          
Vardas129                Pavarde129                  3          5          7          8          3          5          2          9          4          2          3          6          8          10         1          
Vardas130                Pavarde130                  1          7          3          4          3          8          5          3          3          4          7          5          9          2          8          
Vardas131                Pavarde131                  6          5          5          6          4          10         8          3          3          8          5          4          2          7          7          
Vardas132                Pavarde132                  3          9          3          7          8          5          8          8          9          7          9          9          3          3          1          
Vardas133                Pavarde133                  2          9          7          9          7          8          4          6          6          8          10         10         5          6          4          
Vardas134                Pavarde134                  9          1          8          1          3          9          2          6          4          8          3          8          7          4          2          
Vardas135                Pavarde135                  8          1          3          8          7          4          3          8          9          5          2          3          1          7          8          
Vardas136                Pavarde136                  5          9          6          1          4          1          2          3          10         5          2          5          3          7          5          
Vardas137                Pavarde137                  1          4          9          8          1          9          4          2          4          5          4          10         3          9          9          
Vardas138                Pavarde138                  3          8          5          4          10         1          8          6          2          4          1          8          5          6          6          
Vardas139                Pavarde139                  1          5          10         10         2          6          2          1          6          4          2          4          2          6          5          
Vardas140                Pavarde140                  8          4          2          7          5          1          3          9          1          3          10         8          9          8          3          
Vardas141                Pavarde141                  1          5          8          3          9          1          8          2          7          8          6          3          3          4          7          
Vardas142                Pavarde142                  10         5          2          4          9          5          2          2          6          10         8          4          1          4          4          
Vardas143                Pavarde143                  10         8          2          8          7          10         1          1          5          10         9          1          1          2          9          
Vardas144                Pavarde144                  5          5          5          7          10         10         1          10         10         9          4          6          7          7          6          
Vardas145                Pavarde145                  10         3          5          7          9          1          2          7          3          5          9          3          6          5          6          
Vardas146                Pavarde146                  10         2          8          10         10         2          2          3          8          9          2          2          4          2          2          
Vardas147                Pavarde147                  2          4          3          1          5          5          2          6          4          3          2          3          2          9          6          
Vardas148                Pavarde148                  9          5          9          1          10         1          3          7          9          3          7          4          2          6          7          
Vardas149                Pavarde149                  2          9          2          7          7          6          9          9          4          10         4          2          5          10         3          
Vardas150                Pavarde150                  6          6          7          1          4          1          9          1          9          6          10         9          10         1          2          
Vardas151                Pavarde151                  1          2          3          9          2          5          4          1          8          6          9          1          2          4          9          
Vardas152                Pavarde152                  5          6          9          5          10         8          1          10         4          5          4          4          1          6          4          
Vardas153                Pavarde153                  1          8          8          2          4          4          2          6          7          8          5          9          1          6          2          
Vardas154                Pavarde154                  8          10         7          5          6          3          1          4          7          2          2          9          7          6          7          
Vardas155                Pavarde155                  5          4          10         2          4          9          10         6          8          8          7          8          7          8          10         
Vardas156                Pavarde156                  6          10         7          10         10         8          9          1          5          8          4          4          4          3          10         
Vardas157                Pavarde157                  4          3          9          5          6          7          8          3          9          5          2          4          4          4          6          
Vardas158                Pavarde158                  4          4          8          7          3          8          6          3          2          6          8          7          5          10         10         
Vardas159                Pavarde159                  6          4          3          7          4          4          10         10         4          10         7          10         7          2          8          
Vardas160                Pavarde160                  5          5          4          4          9          3          10         3          6          5          9          2          9          2          7          
Vardas161                Pavarde161                  8          10         5          7          4          9          9          6          9          9          9          5          2          10         1          
Vardas162                Pavarde162                  9          8          5          10         6          3          2          4          7          9          3          1          2          3          8          
Vardas163                Pavarde163                  5          3          3          5          5          10         6          1          9          10         6          8          9          10         2          
Vardas164                Pavarde164                  5          10         6          7          4          9          1          5          1          1          10         2          1          3          6          
Vardas165                Pavarde165                  8          5          8          10         10         6          3          9          3          1          4          8          9          1          8          
Vardas166                Pavarde166                  9          6          9          3          5          1          5          5          3          4          2          3          1          9          10         
Vardas167                Pavarde167                  3          9          4          6          9          2          5          4          9          3          5          1          9          9          5          
Vardas168                Pavarde168                  4          6          7          5          5          2          2          8          5          1          1          6          1          3          7          
Vardas169                Pavarde169                  6          1          2          6          9          2          3          8          6          10         10         7          5          5          9          
Vardas170                Pavarde170                  4          1          7          9          9          2          6          10         3          5          3          4          3          10         8          
Vardas171                Pavarde171                  10         8          5          10         4          3          1          10         2          5          9          4          5          4          7          
Vardas172                Pavarde172                  8          2          1          9          4          2          6          6          6          4          3          6          2          5          5          
Vardas173                Pavarde173                  8          3          4          2          5          10         8          6          10         6          9          1          2          5          9          
Vardas174                Pavarde174                  10         10         3          4          6          9          2          8          10         9          9          6          4          10         1          
Vardas175                Pavarde175                  2          1          10         8          7          4          10         4          7          3          8          7          4          6          1          
Vardas176                Pavarde176                  5          5          8          1          2          2          10         4          2          6          2          9          6          2          6          
Vardas177                Pavarde177                  5          7          1          5          9          6          9          5          5          9          4          10         9          4          1          
Vardas178                Pavarde178                  2          1          9          7          3          9          5          1          9          7          8          4          9          8          5          
Vardas179                Pavarde179                  7          8          2          2          2          9          7          8          5          9          6          8          2          10         6          
Vardas180                Pavarde180                  6          8          7          6          1          10         4          10         3          6          10         5          7          6          5          
Vardas181                Pavarde181                  3          7          3          4          2          8          8          1          4          3          6          5          2          1          7          
Vardas182                Pavarde182                  2          6          10         3          9          9          6          10         3          9          9          7          10         2          10         
Vardas183                Pavarde183                  7          5          2          10         9          6          9          10         1          9          7          6          5          2          9          
Vardas184                Pavarde184                  9          1          2          5          1          10         10         4          9          9          8          7          10         1          8          
Vardas185                Pavarde185                  3          9          2          5          2          2          8          1          10         1          1          6          8          6          1          
Vardas186                Pavarde186                  7          3          7          5          2          8          6          1          2          7          3          3          10         4          8          
Vardas187                Pavarde187                  5          7          7          5          5          1          4          9          4          1          8          5          1          2          5          
Vardas188                Pavarde188                  4          7          6          4          1          1          5          6          2          10         5          7          9          5          1          
Vardas189                Pavarde189                  4          2          5          6          9          2          10         3          9          7          10         10         9          6          1          
Vardas190                Pavarde190                  1          2          2          5          8          2          7          7          10         9          4          2          9          6          5          
Vardas191                Pavarde191                  8          6          8          1          3          1          2          4          7          9          10         4          5          2          3          
Vardas192                Pavarde192                  10         2          6          10         1          5          6          8          9          2          2          9          8          5          8          
Vardas193                Pavarde193                  4          1          9          4          3          5          8          1          2          3          10         4          4          2          4          
Vardas194                Pavarde194                  2          3          2          8          2          10         1          3          3          7          3          6          4          6          9          
Vardas195                Pavarde195                  2          1          5          6          6          9          3          3          5          1          10         1          1          7          1          
Vardas196                Pavarde196                  4          9          8          7          7          3          10         6          2          6          10         8          10         6          9          
Vardas197                Pavarde197                  3          5          9          8          4          6          9          7          9          2          3          7          7          8          9          
Vardas198                Pavarde198                  3          6          2          5          1          8          3          3          5          6          8          5          8          5          2          
Vardas199                Pavarde199                  8          1          9          4          6          10         10         5          3          4          7          5          5          3          2          
Vardas200                Pavarde200                  7          7          8          2          5          9          8          2          10         7          8          1          2          7          4          
Vardas201                Pavarde201                  2          4          8          10         1          2          5          6          10         7          4          3          9          4          9          
Vardas202                Pavarde202                  2          10         4          4          1          7          3          9          10         4          10         6          10         5          1          
Vardas203                Pavarde203                  3          6          3          6          2          9          9          7          1          4          7          7          7          5          1          
Vardas204                Pavarde204                  7          9          10         7          4          4          4          8          1          6          1          9          8          7          3          
